Title,Title_URL,Image,onsale,add_to_wishlist_URL,add_to_wishlist,View,Category,Price,discounted_price,Type_URL,Type,IsValidURL,Product_ID_from_Title,Discount_Percentage,Dimensions,Has_Image
8 Pcs Hegar Uterine Sounds Dilator Set 3mm-18mm Double Ended | SM1672,https://surgicalmart.com/shop/surgical-instruments/gynecology/8-pc-dilator-set-with-pouch-hegar-sounds-dilator-set-sm1672/,https://surgicalmart.com/wp-content/uploads/2017/05/8-pcs-hegar-sounds-dilator-set-surgicalmart-1-247x247.jpg,-45.0,https://surgicalmart.com/product-category/surgical-instruments/?add_to_wishlist=23731&_wpnonce=3abbd17aba,Add to Wishlist,QUICK VIEW,Gynecology,39.99,21.99,https://surgicalmart.com/product-category/surgical-instruments/?add-to-cart=23731,ADD TO CART,True,SM1672,45.011252813203306,3mm,1
Metzenbaum Scissors 5.75″ Curved Surgical Veterinary | SM2056,https://surgicalmart.com/shop/surgical-instruments/surgical-scissors/metzenbaum-scissors-5-75-curved-surgical-veterinary-sm2056/,https://surgicalmart.com/wp-content/uploads/2017/06/SurgicalMart-SM2056-247x247.jpg,-45.0,https://surgicalmart.com/product-category/surgical-instruments/?add_to_wishlist=25437&_wpnonce=3abbd17aba,Add to Wishlist,QUICK VIEW,Surgical Instruments,10.41,5.73,https://surgicalmart.com/product-category/surgical-instruments/?add-to-cart=25437,ADD TO CART,True,SM2056,44.956772334293944,5.75″,1
Adson Tissue Forceps 1×2 Rat Tooth 4.75″ Fine Point Straight | SM1621,https://surgicalmart.com/shop/surgical-instruments/dissecting-forceps/adson-tissue-forceps-sm1621/,https://surgicalmart.com/wp-content/uploads/2017/05/adson-tissue-forceps-1x2-teeth-4-75-surgicalmart-247x247.jpg,-45.0,https://surgicalmart.com/product-category/surgical-instruments/?add_to_wishlist=23140&_wpnonce=3abbd17aba,Add to Wishlist,QUICK VIEW,Dissecting Forceps,16.35,8.99,https://surgicalmart.com/product-category/surgical-instruments/?add-to-cart=23140,ADD TO CART,True,SM1621,45.01529051987768,4.75″,1
Tactical Black Lister Bandage Scissors 5.5″ | SM2839,https://surgicalmart.com/shop/surgical-instruments/surgical-scissors/tactical-black-lister-bandage-scissors-5-5-sm2839/,https://surgicalmart.com/wp-content/uploads/2022/04/tactical-black-lister-bandage-scissors-5-5-surgicalmart-1-247x247.jpg,-45.0,https://surgicalmart.com/product-category/surgical-instruments/?add_to_wishlist=29953&_wpnonce=3abbd17aba,Add to Wishlist,QUICK VIEW,Surgical Instruments,18.15,9.99,https://surgicalmart.com/product-category/surgical-instruments/?add-to-cart=29953,ADD TO CART,True,SM2839,44.95867768595041,5.5″,1
Medical Skin Suture Practice Silicone Pad | SM2629,https://surgicalmart.com/shop/surgical-instruments/student-kits/medical-skin-suture-practice-silicone-pad-sm2629/,https://surgicalmart.com/wp-content/uploads/2022/06/suture-practice-pad-surgicalmart-247x247.jpg,-45.0,https://surgicalmart.com/product-category/surgical-instruments/?add_to_wishlist=30953&_wpnonce=3abbd17aba,Add to Wishlist,QUICK VIEW,General,20.89,11.49,https://surgicalmart.com/product-category/surgical-instruments/?add-to-cart=30953,ADD TO CART,True,SM2629,44.997606510292,,1
"Multi Purpose Diagnostic Kit for Neurological, EMT & Eye Exams | SM3790",https://surgicalmart.com/shop/surgical-instruments/diagnostic-instruments/multi-purpose-diagnostic-kit-for-neurological-emt-eye-exams-sm3790/,https://surgicalmart.com/wp-content/uploads/2023/02/multi-purpose-diagnostic-kit-tactical-black-surgicalmart-247x247.jpg,-45.0,https://surgicalmart.com/product-category/surgical-instruments/?add_to_wishlist=38439&_wpnonce=3abbd17aba,Add to Wishlist,QUICK VIEW,Diagnostic Instruments,90.89,49.99,https://surgicalmart.com/product-category/surgical-instruments/?add-to-cart=38439,ADD TO CART,True,SM3790,44.99944988447574,,1
9 Pcs Bakes Rosebud Urethral Sounds Dilators Set 3mm-11mm | SM1678,https://surgicalmart.com/shop/surgical-instruments/gynecology/bakes-uterine-dilator-9-pcs-gynecology-surgical-sm1678/,Missing_URL,-45.0,https://surgicalmart.com/product-category/surgical-instruments/?add_to_wishlist=23743&_wpnonce=3abbd17aba,Add to Wishlist,QUICK VIEW,Gynecology,45.45,24.99,https://surgicalmart.com/product-category/surgical-instruments/?add-to-cart=23743,ADD TO CART,True,SM1678,45.016501650165026,3mm,0
15 Pcs Suture Practice Kit with FREE Pad for Suture Training | SM2628,https://surgicalmart.com/shop/surgical-instruments/student-kits/15-pcs-suture-practice-kit-with-free-pad-for-suture-training-sm2628/,Missing_URL,-45.0,https://surgicalmart.com/product-category/surgical-instruments/?add_to_wishlist=30951&_wpnonce=3abbd17aba,Add to Wishlist,QUICK VIEW,General,45.45,24.99,https://surgicalmart.com/product-category/surgical-instruments/?add-to-cart=30951,ADD TO CART,True,SM2628,45.016501650165026,,0
Fox Dermal Curette 4mm Round Tip – 5.5″ (14cm) Straight | SM2879,https://surgicalmart.com/shop/surgical-instruments/dermatology/fox-dermal-curette-4mm-round-tip-5-5%e2%80%b3-14cm-straight-sm2879/,Missing_URL,-45.0,https://surgicalmart.com/product-category/surgical-instruments/?add_to_wishlist=31413&_wpnonce=3abbd17aba,Add to Wishlist,QUICK VIEW,Dermatology,13.63,7.49,https://surgicalmart.com/product-category/surgical-instruments/?add-to-cart=31413,ADD TO CART,True,SM2879,45.0476889214967,4mm,0
TC Olsen Hegar Needle Holder with Scissor 4.75″ | SM2763,https://surgicalmart.com/shop/surgical-instruments/needle-holders-surgical/tc-olsen-hegar-needle-holder-with-scissor-4-75-sm2763/,Missing_URL,-45.0,https://surgicalmart.com/product-category/surgical-instruments/?add_to_wishlist=28868&_wpnonce=3abbd17aba,Add to Wishlist,QUICK VIEW,Needle Holders,18.15,9.99,https://surgicalmart.com/product-category/surgical-instruments/?add-to-cart=28868,ADD TO CART,True,SM2763,44.95867768595041,4.75″,0
